trigger_name|t90    |t90_error|t90_start|ra        |dec      |error_radius|lii     |bii     |fluence  |fluence_error|flux_64  |flux_64_error|flux_64_time
bn080714086 |  5.376|    2.360|   -0.768|02 47 36.0| 08 30 00|      7.5000|165.3290|-44.5998|6.7648E-7|     4.067E-8|   3.8219|       1.0611|      -3.072
bn080714425 | 40.192|    1.145|   -4.352|12 30 00.0|-74 00 00|      8.7000|301.4280|-11.1909|1.8139E-6|    2.0869E-8|   4.0019|       1.4479|      -1.920
bn080714745 | 59.649|   11.276|   -0.512|12 32 24.0|-60 12 00|      0.0000|300.5662|  2.5843| 6.333E-6|    1.4144E-7|   8.8870|       1.6061|       2.624
bn080715950 |  7.872|    0.272|    0.128|14 18 48.0| 09 54 00|      2.0000|357.1710| 63.1514|5.0402E-6|    7.9535E-8|  19.4248|       0.9456|       7.488
bn080717543 | 36.608|    2.985|   -5.376|09 49 12.0|-70 00 00|      4.7000|288.4507|-12.4365|4.4599E-6|    7.6842E-8|   6.2448|       1.0783|       9.152
bn080719529 | 16.128|   17.887|   -4.352|10 12 48.0|-61 18 00|     13.8000|285.0375| -4.0677|7.7533E-7|    2.9274E-8|   2.7677|       0.8253|      11.328
bn080723557 | 58.369|    1.985|    2.368|11 47 12.0|-60 12 00|      0.0000|295.0264|  1.6821| 7.223E-5|    2.5419E-7|  40.9659|       2.2423|      55.681
bn080723913 |  0.192|    0.345|   -0.064|07 33 12.0|-19 42 00|      9.9000|235.1298| -0.1072|1.3352E-7|     1.365E-8|   5.2574|       0.7021|       0.128
bn080723985 | 42.816|    0.659|    3.072|07 01 12.0| 71 06 00|      1.0000|144.1004| 26.3386|3.0792E-5|    2.0698E-7|  13.4527|       1.2446|      14.144
bn080724401 |379.397|    2.202|   10.816|23 53 12.0| 32 54 00|      1.6000|109.0490|-28.3969| 1.569E-5|    5.0397E-8|  22.7262|       1.3117|      21.696
bn080725435 | 25.920|    1.208|   -2.816|08 06 48.0|-14 00 00|      0.0000|234.2402|  9.7040|7.9853E-6|    4.4172E-8|   5.3812|       0.7678|       6.464
bn080725541 |  0.960|    1.292|   -0.128|23 39 12.0| 08 54 00|      3.5000| 94.5130|-49.9435|4.9216E-7|    4.3882E-8|   6.2687|       0.7758|       0.256
bn080727964 | 89.089|    6.476|  -13.312|02 10 24.0| 64 06 00|      0.0000|131.4244|  2.5380|1.3298E-5|    7.9086E-8|   6.4377|       0.9176|       5.312
bn080730520 | 17.408|    6.229|   -0.576|16 21 36.0| 04 36 00|      2.1000| 18.4024| 35.1779|4.8707E-6|    9.8931E-8|   7.8278|       1.0340|       4.096
bn080730786 | 13.312|    4.222|   -0.576|16 26 24.0| 28 42 00|      2.1000| 48.0317| 42.8971| 6.346E-6|    8.3102E-8|  16.8932|       0.9395|       1.600
bn080802386 |  0.576|    0.091|   -0.064|10 17 12.0| 40 42 00|      4.1000|179.6641| 55.5844|3.9772E-7|     6.852E-9|  10.4115|       1.1162|       0.000
bn080803772 | 26.240|    1.691|   -0.256|20 00 24.0| 82 48 00|      5.9000|115.3552| 24.7922|4.3867E-6|    7.4321E-8|   3.3698|       0.6657|      12.864
bn080804456 |521.862|    4.291|   -9.216|07 10 00.0| 20 18 00|      7.3000|196.5862| 13.0457|7.0091E-6|    2.9573E-8|   4.5341|       1.0738|     439.237
bn080804972 | 24.704|    1.460|    0.256|21 54 48.0|-53 12 00|      0.0000|341.8589|-48.3817|9.1294E-6|    1.0589E-7|   5.8104|       0.7637|       8.384
bn080805496 | 29.440|    3.566|   -1.792|21 30 48.0| 47 54 00|      5.6000| 91.9163| -2.5178| 1.752E-6|    4.7789E-8|   4.7729|       1.0689|      -0.896
bn080805584 | 65.665|   14.676|   -4.864|11 38 00.0|-23 06 00|      5.7000|281.7396| 36.7312|4.3788E-6|    6.4487E-8|   4.5493|       1.3232|      19.584
bn080806584 |  2.304|    0.453|   -2.112|06 18 24.0| 57 48 00|     13.6000|156.7231| 18.5251|4.3135E-7|    2.4964E-8|   4.3260|       0.8270|      -2.176
bn080806896 | 75.777|    4.185|  -35.328|16 07 12.0| 46 42 00|      2.9000| 73.4724| 47.1191|1.3277E-5|     1.942E-7|  11.2024|       0.9419|      28.288
bn080807993 | 19.072|    0.181|    0.000|06 46 48.0|-16 00 00|      2.6000|226.7535| -8.2214|7.2988E-6|    9.0092E-8|  19.4154|       0.8177|       0.064
bn080808451 |  4.352|    0.832|   -1.536|07 09 36.0|-33 48 00|     13.6000|245.3018|-11.2514|7.1043E-7|    3.9634E-8|   2.6978|       0.6928|       2.688
bn080808565 | 17.728|    1.489|    1.728|02 14 24.0| 05 24 00|      2.6000|157.6779|-51.7860|3.9656E-6|    4.2181E-8|   7.7855|       0.8655|       5.632
bn080808772 |210.178|    5.976| -168.002|06 26 48.0|-14 24 00|     12.3000|223.1707|-11.8817|6.3069E-6|    5.2876E-8|   3.8880|       0.9712|     -64.577
bn080809808 | 28.160|    2.896|   -9.728|06 06 48.0| 61 24 00|      7.1000|152.6238| 18.5355|4.1354E-6|     5.498E-8|   9.1928|       1.4150|       9.472
bn080810549 | 75.201|    3.638|   -3.200|23 47 12.0| 00 19 12|      0.0000| 90.9581|-58.5062|9.4398E-6|    4.8957E-8|   6.4107|       1.1851|      50.369
bn080812889 | 15.040|    0.462|   -1.792|11 46 48.0|-33 12 00|      4.1000|287.6751| 27.7495|2.4547E-6|    4.1782E-8|   5.1963|       0.9533|       4.160
bn080815917 |  0.832|    0.320|   -0.320|16 03 36.0|-47 48 00|      6.3000|332.9626|  3.5496|4.6871E-7|    2.7347E-8|   6.2631|       0.9671|      -0.128
bn080816503 | 64.769|    1.810|    1.280|10 24 48.0| 42 36 00|      2.0000|175.7682| 56.5304|1.3302E-5|    8.2522E-8|   9.8989|       0.7550|      56.385
