bnname,duration,t0,t1
bn080714745,0.064,2.74889,2.81289
bn080715950,7.808,0.08307,7.89107
bn080723557,58.176,1.0606,59.2366
bn080723913,0.064,-0.0387,0.0253
bn080723985,38.272,7.80256,46.07456
bn080724401,20.864,13.3609,34.2249
bn080725541,0.256,0.0554,0.3114
bn080730520,2.88,4.02426,6.90426
bn080730786,5.376,0.33737,5.71337
bn080802386,0.064,-0.03572,0.02828
bn080804972,6.976,0.86443,7.84043
bn080806896,4.992,26.52335,31.51535
bn080807993,18.624,-0.02265,18.60135
bn080808565,5.696,4.02846,9.72446
bn080809808,0.064,104.12369,104.18769
bn080810549,0.064,23.3627,23.4267
bn080812889,0.064,114.30062,114.36462
bn080816503,65.088,0.20415,65.29215
bn080816989,1.664,0.01025,1.67425
bn080817161,20.8,1.56602,22.36602
bn080817720,0.448,1.0649,1.5129
bn080818579,32.448,0.14155,32.58955
bn080818945,0.064,3.06454,3.12854
bn080821332,1.984,0.01118,1.99518
bn080823363,0.064,5.36465,5.42865
bn080824909,3.968,0.0141,3.9821
bn080825593,22.272,0.31673,22.58873
bn080829790,3.84,0.07447,3.91447
bn080830368,5.248,8.61189,13.85989
bn080831053,0.064,-0.0581,0.0059
bn080904886,8.256,1.86178,10.11778
bn080905499,0.256,-0.04776,0.20824
bn080906212,2.752,-0.0049,2.7471
bn080916009,44.672,0.61807,45.29007
bn080916406,2.048,2.24196,4.28996
bn080919790,0.064,-0.0277,0.0363
bn080924766,0.384,0.20821,0.59221
bn080925775,14.976,0.40516,15.38116
bn080928628,0.064,0.06746,0.13146
bn081009140,47.424,0.00453,47.42853
bn081009690,3.072,0.77288,3.84488
bn081012045,0.448,0.19338,0.64138
bn081024891,0.064,-0.02614,0.03786
bn081025349,0.448,1.01299,1.46099
bn081028538,0.576,1.54561,2.12161
bn081101491,0.064,0.02803,0.09203
bn081101532,7.04,0.79782,7.83782
bn081102365,0.32,-0.09584,0.22416
bn081107321,1.728,-0.07239,1.65561
bn081110601,10.496,-0.08752,10.40848
bn081113230,0.192,-0.03676,0.15524
bn081118876,5.376,5.99675,11.37275
bn081120618,2.496,0.09786,2.59386
bn081121858,12.736,6.65717,19.39317
bn081122520,14.528,0.0544,14.5824
bn081122614,0.064,0.00777,0.07177
bn081124060,16.32,0.42956,16.74956
bn081125496,5.248,1.13041,6.37841
bn081126899,32.512,0.45418,32.96618
bn081129161,9.088,0.26649,9.35449
bn081130212,0.064,-0.06875,-0.00475
bn081204004,1.984,-1.91735,0.06665
bn081204517,0.064,-0.0132,0.0508
bn081206275,24.064,194.17225,218.23625
bn081209981,0.192,-0.04461,0.14739
bn081215784,6.912,0.95,7.862
bn081215880,0.064,278.43691,278.50091
bn081216531,0.256,0.49005,0.74605
bn081217983,11.072,3.67964,14.75164
bn081221681,33.408,1.99675,35.40475
bn081222204,8.384,-0.01323,8.37077
bn081223419,0.448,-0.01238,0.43562
bn081224887,13.44,-0.05457,13.38543
bn081226509,0.192,-0.00955,0.18245
bn081229187,0.064,0.02359,0.08759
bn081229675,0.064,-0.02416,0.03984
bn081231140,25.6,1.38782,26.98782
bn090101758,8.128,90.22958,98.35758
bn090102122,19.648,1.17858,20.82658
bn090107681,0.064,136.99912,137.06312
bn090108020,0.448,-0.09954,0.34846
bn090108322,0.064,-0.02731,0.03669
bn090112332,0.128,4.14019,4.26819
bn090112729,6.976,0.93339,7.90939
bn090113778,0.256,0.35915,0.61515
bn090117640,1.472,-0.17695,1.29505
bn090120627,0.064,1.36684,1.43084
bn090129880,3.008,0.3205,3.3285
bn090131090,35.392,2.41482,37.80682
bn090202347,1.088,8.73165,9.81965
bn090206620,0.256,-0.07073,0.18527
bn090207777,0.064,0.45588,0.51988
bn090217206,17.28,0.22679,17.50679
bn090225009,292.096,-0.23667,291.85933
